Grecia  Irak    Mali    Tailandia   Hungria Argentina   Egipto  SriLanka    Turquia Nepal   Ruanda  Peru    Inglaterra  Mexico  Canada  Comoras Rusia   India   USA Noruega Francia China   NuevaGuinea Islandia    Brasil  Italia  SanMarino   Singapur    Australia   Japon
0	1934	4215	7923	1125	11685	1120	6606	561	5763	4487	11763	2391	11280	7601	5887	2231	5010	8053	2605	2095	8965	13564	4160	9720	1049	1153	9055	15326	9506
1934	0	5765	6040	2642	13083	1295	4684	1609	3944	4202	13647	4090	12986	9258	5010	2546	3159	9772	3835	3859	10541	11765	5574	11172	2945	2991	7127	13393	8344
4215	5765	0	11608	4618	7471	4471	9684	4774	9677	4504	8094	4378	9658	7113	6270	6181	8878	7169	5477	4137	8396	17283	5825	5506	3809	3989	12340	16854	13657
7923	6040	11608	0	8247	16871	7267	2250	7469	2209	7953	19686	9531	15745	13398	6916	7064	2916	14026	8674	9443	13884	5760	10090	16063	8827	8798	1434	7536	4603
1125	2642	4618	8247	0	11932	2203	7260	1067	6039	5602	11444	1449	10361	6640	7006	1569	5364	7137	1482	1244	7965	13585	3071	9989	809	647	9512	15783	9046
11685	13083	7471	16871	11932	0	11814	14898	12243	16495	9741	3138	11128	7392	9039	10308	13475	15792	8468	12247	11050	8951	14425	11436	1966	11152	11286	15876	11800	18369
1120	1295	4471	7267	2203	11814	0	5705	1235	5221	3562	12422	3510	12368	8711	4818	2900	4428	9149	3656	3209	10082	13020	5267	9888	2130	2263	8265	14415	9562
6606	4684	9684	2250	7260	14898	5705	0	6283	2256	5729	17540	8693	16978	13552	4685	6524	2338	14150	8145	8503	14539	7602	9825	13819	7630	7671	2659	8730	6706
561	1609	4774	7469	1067	12243	1235	6283	0	5286	4778	12218	2498	11424	7706	6043	1756	4553	8197	2447	2253	9032	13050	4117	10277	1371	1389	8651	14948	8946
5763	3944	9677	2209	6039	16495	5221	2256	5286	0	6756	17483	7332	14752	11599	6302	4890	800	12225	6521	7236	12405	7826	8039	14849	6633	6595	3538	9744	5155
4487	4202	4504	7953	5602	9741	3562	5729	4778	6756	0	11816	6590	14161	11222	1815	6453	6065	11440	7080	6247	12617	12937	8476	8210	5185	5395	8211	12700	11899
11763	13647	8094	19686	11444	3138	12422	17540	12218	17483	11816	0	10169	4255	6409	12914	12642	16770	5785	11040	10252	5992	14576	9649	3774	10860	10891	18815	12801	15492
2391	4090	4378	9531	1449	11128	3510	8693	2498	7332	6590	10169	0	8928	5222	8171	2500	6710	5700	1153	344	6575	14474	1887	9278	1435	1259	10855	16993	9558
11280	12986	9658	15745	10361	7392	12368	16978	11424	14752	14161	4255	8928	0	3728	15903	10719	14656	3230	9195	9196	2518	12827	7453	7679	10241	10128	16609	12973	11306
7601	9258	7113	13398	6640	9039	8711	13552	7706	11599	11222	6409	5222	3728	0	13013	7055	11258	631	5483	5506	1412	14437	3753	8204	6584	6449	14804	16027	10387
5887	5010	6270	6916	7006	10308	4818	4685	6043	6302	1815	12914	8171	15903	13013	0	7519	5783	13251	8473	7836	14417	11284	10026	9147	6737	6927	6846	10886	11339
2231	2546	6181	7064	1569	13475	2900	6524	1756	4890	6453	12642	2500	10719	7055	7519	0	4341	7635	1644	2486	8207	12092	3306	11545	2375	2212	8428	14495	7478
5010	3159	8878	2916	5364	15792	4428	2338	4553	800	6065	16770	6710	14656	11258	5783	4341	0	11871	5985	6586	12201	8606	7589	14075	5915	5893	4150	10428	5835
8053	9772	7169	14026	7137	8468	9149	14150	8197	12225	11440	5785	5700	3230	631	13251	7635	11871	0	6042	5966	1229	14635	4329	7734	7020	6900	15427	15883	10878
2605	3835	5477	8674	1482	12247	3656	8145	2447	6521	7080	11040	1153	9195	5483	8473	1644	5985	6042	0	1342	6715	13345	1744	10421	2007	1780	10056	15949	8405
2095	3859	4137	9443	1244	11050	3209	8503	2253	7236	6247	10252	344	9196	5506	7836	2486	6586	5966	1342	0	6873	14550	2231	9168	1107	947	10736	16960	9712
8965	10541	8396	13884	7965	8951	10082	14539	9032	12405	12617	5992	6575	2518	1412	14417	8207	12201	1229	6715	6873	0	13467	4971	8534	7964	7819	15163	14682	10151
13564	11765	17283	5760	13585	14425	13020	7602	13050	7826	12937	14576	14474	12827	14437	11284	12092	8606	14635	13345	14550	13467	0	13872	16244	14314	14217	4944	2747	5079
4160	5574	5825	10090	3071	11436	5267	9825	4117	8039	8476	9649	1887	7453	3753	10026	3306	7589	4329	1744	2231	4971	13872	0	9853	3301	3103	11515	16616	8797
9720	11172	5506	16063	9989	1966	9888	13819	10277	14849	8210	3774	9278	7679	8204	9147	11545	14075	7734	10421	9168	8534	16244	9853	0	9200	9342	15723	13520	18565
1049	2945	3809	8827	809	11152	2130	7630	1371	6633	5185	10860	1435	10241	6584	6737	2375	5915	7020	2007	1107	7964	14314	3301	9200	0	227	10022	16319	9853
1153	2991	3989	8798	647	11286	2263	7671	1389	6595	5395	10891	1259	10128	6449	6927	2212	5893	6900	1780	947	7819	14217	3103	9342	227	0	10020	16317	9683
9055	7127	12340	1434	9512	15876	8265	2659	8651	3538	8211	18815	10855	16609	14804	6846	8428	4150	15427	10056	10736	15163	4944	11515	15723	10022	10020	0	6299	5318
15326	13393	16854	7536	15783	11800	14415	8730	14948	9744	12700	12801	16993	12973	16027	10886	14495	10428	15883	15949	16960	14682	2747	16616	13520	16319	16317	6299	0	7826
9506	8344	13657	4603	9046	18369	9562	6706	8946	5155	11899	15492	9558	11306	10387	11339	7478	5835	10878	8405	9712	10151	5079	8797	18565	9853	9683	5318	7826	0
